BimpmRNA4 XP_024227798.1        
BimpmRNA5 XP_012240117.1        
BimpmRNA6 XP_012240117.1        
BimpmRNA7 XP_012240117.1        
BimpmRNA9 XP_024222857.1        
BimpmRNA10 XP_024222857.1        
BimpmRNA11 XP_024222857.1        
BimpmRNA12 XP_024222857.1        
BimpmRNA13 XP_024222857.1        
BimpmRNA14 XP_024222857.1        
BimpmRNA16 XP_033176213.1        
BimpmRNA17 XP_033176213.1        
BimpmRNA18 XP_024227446.1        
BimpmRNA19 XP_003488472.1        
BimpmRNA20 XP_003488472.1        
BimpmRNA21 XP_003488472.1        
BimpmRNA22 XP_003488502.1        
BimpmRNA23 XP_003488502.1        
BimpmRNA24 XP_003488494.1        
BimpmRNA25 XP_003488494.1        
BimpmRNA26 XP_003488480.1        
BimpmRNA27 XP_003488480.1        
BimpmRNA28 XP_003488480.1        
BimpmRNA29 XP_012239487.1,XP_012239488.1,XP_012239489.1      
BimpmRNA30 XP_012239487.1,XP_012239488.1,XP_012239489.1      
BimpmRNA31 XP_024222516.1        
BimpmRNA32 XP_024222516.1        
BimpmRNA33 XP_033175955.1        
BimpmRNA34 XP_033175955.1        
BimpmRNA35 XP_033175955.1        
BimpmRNA36 XP_033175955.1        
BimpmRNA37 XP_033175955.1        
BimpmRNA38 XP_003488469.1        
BimpmRNA39 XP_003488469.1        
BimpmRNA40 XP_003488469.1        
BimpmRNA41 XP_012239465.1        
BimpmRNA42 XP_012239465.1        
BimpmRNA43 XP_012239465.1        
BimpmRNA44 XP_012239465.1        
BimpmRNA45 XP_024222510.1,XP_024222509.1       
BimpmRNA46 XP_024222510.1,XP_024222509.1       
BimpmRNA47 XP_024222510.1,XP_024222509.1       
BimpmRNA48 XP_024222510.1,XP_024222509.1       
BimpmRNA49 XP_003488456.1        
BimpmRNA50 XP_003488456.1        
BimpmRNA51 XP_003488456.1        
BimpmRNA52 XP_012239470.1        
BimpmRNA53 XP_012239470.1        
BimpmRNA54 XP_003488458.1        
BimpmRNA55 XP_003488458.1        
BimpmRNA56 XP_003488458.1        
BimpmRNA57 XP_003488473.1        
BimpmRNA58 XP_003488473.1        
BimpmRNA59 XP_012239452.1,XP_012239453.1,XP_012239455.1      
BimpmRNA60 XP_012239452.1,XP_012239453.1,XP_012239455.1      
BimpmRNA61 XP_012239452.1,XP_012239453.1,XP_012239455.1      
BimpmRNA62 XP_012239452.1,XP_012239453.1,XP_012239455.1      
BimpmRNA63 XP_012239452.1,XP_012239453.1,XP_012239455.1      
BimpmRNA64 XP_003488459.1        
BimpmRNA65 XP_003488475.1,XP_003488476.1       
BimpmRNA66 XP_003488475.1,XP_003488476.1       
BimpmRNA67 XP_003488477.1        
BimpmRNA68 XP_003488478.1        
BimpmRNA69 XP_003486568.1        
BimpmRNA70 XP_024222522.1        
BimpmRNA71 XP_024222522.1        
BimpmRNA72 XP_024222522.1        
BimpmRNA73 XP_024222522.1        
BimpmRNA74 XP_012239492.1        
BimpmRNA75 XP_012239492.1        
BimpmRNA76 XP_012239492.1        
BimpmRNA77 XP_003488483.1        
BimpmRNA78 XP_003488483.1        
BimpmRNA79 XP_003488483.1        
BimpmRNA80 XP_003488483.1        
BimpmRNA81 XP_012239492.1        
BimpmRNA82 XP_012239493.1        
BimpmRNA83 XP_003488484.1        
BimpmRNA84 XP_003488484.1        
BimpmRNA85 XP_003488484.1        
BimpmRNA86 XP_003488484.1        
BimpmRNA88 XP_003488488.1        
BimpmRNA89 XP_003488488.1        
BimpmRNA90 XP_003488488.1        
BimpmRNA91 XP_003488489.1        
BimpmRNA92 XP_003488489.1        
BimpmRNA93 XP_033175948.1        
BimpmRNA94 XP_033175948.1        
BimpmRNA95 XP_033175948.1        
BimpmRNA96 XP_003488491.1        
BimpmRNA97 XP_003488491.1        
BimpmRNA98 XP_003488491.1        
BimpmRNA99 XP_012239510.1        
BimpmRNA100 XP_012239510.1        
BimpmRNA101 XP_012239508.1        
BimpmRNA102 XP_012239508.1        
BimpmRNA103 XP_012239508.1        
BimpmRNA104 XP_012239508.1        
BimpmRNA105 XP_003488495.1        
BimpmRNA106 XP_003488496.1        
BimpmRNA107 XP_024222499.2        
BimpmRNA108 XP_024222499.2        
BimpmRNA109 XP_003492169.1        
BimpmRNA110 XP_003489847.1,XP_003489854.1       
BimpmRNA111 XP_012239516.1        
BimpmRNA112 XP_012239516.1        
BimpmRNA113 XP_012239516.1        
BimpmRNA114 XP_024222479.1        
BimpmRNA115 XP_024222479.1        
BimpmRNA117 XP_024222478.1        
BimpmRNA118 XP_024222478.1        
BimpmRNA119 XP_003488499.1        
BimpmRNA120 XP_003488500.1        
BimpmRNA121 XP_003488500.1        
BimpmRNA122 XP_003488500.1        
BimpmRNA123 XP_003488500.1        
BimpmRNA124 XP_003488500.1        
BimpmRNA125 XP_003488500.1        
BimpmRNA126 XP_003488500.1        
BimpmRNA127 XP_003488500.1        
BimpmRNA128 XP_003488500.1        
BimpmRNA129 XP_003488500.1        
BimpmRNA130 XP_003488500.1        
BimpmRNA131 XP_012239500.1        
BimpmRNA132 XP_012239500.1        
BimpmRNA133 XP_012239501.1,XP_012239502.1       
BimpmRNA134 XP_012239501.1,XP_012239502.1       
BimpmRNA136 XP_024222469.1        
BimpmRNA137 XP_024222469.1        
BimpmRNA138 XP_024222527.1,XP_024222529.1,XP_024222530.1,XP_024222531.1     
BimpmRNA139 XP_024222527.1,XP_024222529.1,XP_024222530.1,XP_024222531.1     
BimpmRNA140 XP_012239481.1,XP_012239483.1,XP_012239484.1      
BimpmRNA141 XP_003488506.1        
BimpmRNA142 XP_003488506.1        
BimpmRNA143 XP_003488506.1        
BimpmRNA144 XP_003488506.1        
BimpmRNA145 XP_003488506.1        
BimpmRNA147 XP_012239525.1        
BimpmRNA148 XP_012239525.1        
BimpmRNA149 XP_024222468.1        
BimpmRNA150 XP_024222468.1        
BimpmRNA151 XP_003488466.1        
BimpmRNA152 XP_003488466.1        
BimpmRNA153 XP_003488466.1        
BimpmRNA154 XP_003488466.1        
BimpmRNA157 XP_012239528.1        
BimpmRNA158 XP_012239528.1        
BimpmRNA159 XP_012239528.1        
BimpmRNA160 XP_033175943.1        
BimpmRNA161 XP_012239519.1        
BimpmRNA162 XP_024222490.1        
BimpmRNA163 XP_024222490.1        
BimpmRNA164 XP_024222490.1        
BimpmRNA165 XP_024222490.1        
BimpmRNA166 XP_024222490.1        
BimpmRNA167 XP_024222490.1        
BimpmRNA168 XP_024222490.1        
BimpmRNA169 XP_024222490.1        
BimpmRNA170 XP_024222490.1        
BimpmRNA171 XP_024222490.1        
BimpmRNA172 XP_024222490.1        
BimpmRNA173 XP_024222490.1        
BimpmRNA174 XP_024222490.1        
BimpmRNA175 XP_024222490.1        
BimpmRNA176 XP_024222490.1        
BimpmRNA177 XP_024222490.1        
BimpmRNA178 XP_024222490.1        
BimpmRNA179 XP_024222490.1        
BimpmRNA183 XP_012239524.1        
BimpmRNA184 XP_012239524.1        
BimpmRNA185 XP_012239524.1        
BimpmRNA186 XP_012239524.1        
BimpmRNA187 XP_012239524.1        
BimpmRNA188 XP_024222491.1        
BimpmRNA189 XP_024222491.1        
BimpmRNA194 XP_033176797.1        
BimpmRNA195 XP_033176797.1        
